This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,Yes,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,No Opinion,Reply,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,A little,Somewhat,Agree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Disagree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Not at all,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,Somewhat,Disagree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Very,Somewhat,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Other,No Opinion,Disagree Strongly,Disagree Strongly,Yes,No,A little,A little,Disagree Somewhat,No Opinion,No,Disagree Strongly,No Opinion,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,No
Disagree Strongly,Agree Strongly,Delete,No Opinion,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Disagree Strongly,Neither Agree or Disagree,No,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A small factor,No Opinion,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Neither Agree or Disagree,Disagree Somewhat,No,Yes,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Not at all,Not at all,Disagree Strongly,Neither Agree or Disagree,No,Disagree Strongly,Agree Strongly,Don't Know,Agree Somewhat,Not a factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,Yes,Very,Somewhat,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Not App,No Opinion,Disagree Strongly,Disagree Somewhat,No,No,"Should be, but not",Somewhat,No Opinion,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Agree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,Yes,No,Somewhat,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Don't Know,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Other,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,No,Yes,Very,Somewhat,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,A little,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A small factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Reply,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Convenience,Yes
Disagree Strongly,Agree Strongly,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Disagree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,No,Yes,Somewhat,Somewhat,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,No
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Agree Somewhat,Agree Somewhat,No,No,Very,Very,Agree Strongly,Disagree Somewhat,No,Disagree Somewhat,No Opinion,Impact Fee,Agree Strongly,A significant factor,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Yes,No,Very,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Agree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Agree Somewhat,Agree Somewhat,Yes,No,A little,A little,Agree Somewhat,Agree Somewhat,Yes,Agree Somewhat,Agree Somewhat,Other,Agree Somewhat,A significant factor,Agree Somewhat,Agree Strongly,Agree Somewhat,Privacy,No
Agree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Agree Strongly,Yes,No,Somewhat,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Nothing,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Not App,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Disagree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Neither Agree or Disagree,Agree Somewhat,Agree Somewhat,No,No,Somewhat,A little,Agree Somewhat,Neither Agree or Disagree,Yes,Agree Somewhat,Agree Somewhat,Impact Fee,Agree Somewhat,A small factor,Agree Somewhat,Neither Agree or Disagree,Agree Somewhat,Convenience,Yes
Agree Somewhat,No Opinion,Delete,Disagree Strongly,Agree Somewhat,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Agree Somewhat,Don't Know,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Disagree Strongly,Disagree Strongly,Disagree Somewhat,No,No,A little,Not at all,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Other,Agree Somewhat,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,A little,Disagree Strongly,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Agree Somewhat,Agree Somewhat,Other,Agree Strongly,Agree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Neither Agree or Disagree,Disagree Somewhat,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Retaliate,No Opinion,Disagree Strongly,Disagree Somewhat,No,No,Very,Somewhat,Disagree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Strongly,Impact Fee,Agree Strongly,Not a factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Somewhat,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Nothing,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,No Opinion,Reply,Agree Somewhat,Disagree Strongly,No Opinion,No,No,A little,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Disagree Somewhat,Don't Know,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Somewhat,Agree Somewhat,Agree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Neither Agree or Disagree,Agree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Agree Somewhat,Agree Somewhat,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Disagree Somewhat,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Yes,No,A little,A little,Agree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A small factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Disagree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,Not a factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Agree Somewhat,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Strongly,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Disagree Somewhat,Government Controls,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Agree Somewhat,Neither Agree or Disagree,No,No,A little,A little,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Strongly,Not App,Disagree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Agree Strongly,Disagree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Not App,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Very,Somewhat,Agree Somewhat,Disagree Somewhat,Yes,No Opinion,Disagree Strongly,Other,Agree Strongly,A small factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Don't Know,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Agree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,No,A little,A little,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Retaliate,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Other,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,Yes,Yes,Very,Somewhat,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Retaliate,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Somewhat,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Neither Agree or Disagree,No,Disagree Somewhat,Neither Agree or Disagree,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,Somewhat,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Disagree Strongly,Government Controls,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Strongly,A significant factor,Agree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Agree Somewhat,Agree Somewhat,No,No,A little,Very,Agree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Neither Agree or Disagree,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Somewhat,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,No,Very,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Somewhat,A significant factor,Disagree Somewhat,Neither Agree or Disagree,Agree Somewhat,Convenience,Yes
Disagree Strongly,Neither Agree or Disagree,Not App,Agree Strongly,Neither Agree or Disagree,Disagree Strongly,No,No,Somewhat,A little,Disagree Somewhat,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Neither Agree or Disagree,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Not App,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Strongly,Disagree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Don't Know,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Retaliate,Disagree Strongly,Disagree Strongly,Agree Somewhat,Yes,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Reply,Neither Agree or Disagree,Neither Agree or Disagree,Agree Somewhat,No,No,A little,A little,Agree Strongly,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A small factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Convenience,Yes
Agree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Disagree Somewhat,Agree Somewhat,No,No,Somewhat,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Neither Agree or Disagree,Nothing,Disagree Somewhat,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Somewhat,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Very,Disagree Somewhat,No Opinion,No,Disagree Strongly,Disagree Strongly,Government Controls,Neither Agree or Disagree,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Read,Agree Strongly,Disagree Strongly,Agree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Neither Agree or Disagree,Neither Agree or Disagree,No,No,Not at all,Not at all,Neither Agree or Disagree,Disagree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Don't Know,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Disagree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,Not at all,Very,Disagree Strongly,Disagree Strongly,No,Neither Agree or Disagree,No Opinion,Nothing,Agree Somewhat,Not a factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Convenience,No
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Neither Agree or Disagree,Disagree Strongly,Yes,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Agree Somewhat,No,No,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Somewhat,A significant factor,Disagree Somewhat,Agree Somewhat,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Disagree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,A little,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Impact Fee,Disagree Somewhat,A small factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,Yes,Yes,A little,Very,Agree Somewhat,Agree Strongly,No,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Somewhat,Retaliate,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
